0,1,2,3,4,5,6,7
489.22,150.69500000000002,122.655,489.22,162.535,149.15833333333333,244.22666666666666,403.3183333333333
489.2433333333333,150.71833333333333,122.67833333333333,489.2433333333333,162.55833333333334,149.18166666666667,244.25,403.34166666666664
487.40166666666664,148.87666666666667,120.83666666666666,487.40166666666664,160.71666666666667,147.34,242.40833333333333,401.5
515.905,177.38,158.68333333333334,515.905,135.63833333333335,152.585,169.64666666666665,430.00333333333333
489.2433333333333,150.71833333333333,122.67833333333333,489.2433333333333,162.55833333333334,149.18166666666667,244.25,403.34166666666664
476.00166666666667,137.47666666666666,109.43666666666667,476.00166666666667,149.31666666666666,135.94,231.00833333333333,390.1
720.9449999999999,382.42,363.72333333333336,720.9449999999999,340.67833333333334,357.625,38.958333333333336,635.0433333333333
720.965,382.44,363.7433333333333,720.965,340.6983333333334,357.64500000000004,38.97833333333333,635.0633333333334
519.1316666666667,180.60666666666665,161.91,519.1316666666667,138.86499999999998,155.81166666666667,166.42000000000002,433.22999999999996
503.0883333333333,164.56333333333333,145.86666666666667,503.0883333333333,122.82166666666667,139.76833333333335,186.11166666666668,417.18666666666667
490.12666666666667,151.60166666666666,123.56166666666667,490.12666666666667,163.44166666666666,150.065,245.13333333333333,404.225
478.97833333333335,140.45333333333335,112.41333333333334,478.97833333333335,152.29333333333335,138.91666666666666,233.985,393.07666666666665
740.1883333333334,401.6633333333333,382.96666666666664,740.1883333333334,359.9216666666667,376.8683333333333,58.20166666666667,654.2866666666666
809.5216666666668,470.99666666666667,452.3,809.5216666666668,429.255,446.20166666666665,127.53500000000001,723.62
809.5216666666668,470.99666666666667,452.3,809.5216666666668,429.255,446.20166666666665,127.53500000000001,723.62
773.95,435.425,416.72833333333335,773.95,393.68333333333334,410.63,91.96333333333334,688.0483333333334
773.8716666666667,435.34666666666664,416.65,773.8716666666667,393.60499999999996,410.5516666666666,91.885,687.9699999999999
710.3866666666667,371.8616666666667,353.165,710.3866666666667,330.12,347.06666666666666,28.4,624.485
520.7216666666667,182.19666666666666,163.5,520.7216666666667,140.45499999999998,157.40166666666667,164.82999999999998,434.82
516.4616666666667,177.93666666666667,159.23999999999998,516.4616666666667,136.195,153.14166666666668,169.09,430.56
503.0883333333333,164.56333333333333,145.86666666666667,503.0883333333333,122.82166666666667,139.76833333333335,186.11166666666668,417.18666666666667
492.27000000000004,153.745,125.705,492.27000000000004,165.585,152.20833333333334,247.27666666666667,406.3683333333333
479.6333333333333,141.10833333333332,113.06833333333334,479.6333333333333,152.94833333333332,139.57166666666666,234.64,393.7316666666667
669.2883333333334,330.7633333333333,312.06666666666666,669.2883333333334,289.02166666666665,305.9683333333333,48.51833333333333,583.3866666666667
809.5216666666668,470.99666666666667,452.3,809.5216666666668,429.255,446.20166666666665,127.53500000000001,723.62
809.5216666666668,470.99666666666667,452.3,809.5216666666668,429.255,446.20166666666665,127.53500000000001,723.62
809.5216666666668,470.99666666666667,452.3,809.5216666666668,429.255,446.20166666666665,127.53500000000001,723.62
809.5216666666668,470.99666666666667,452.3,809.5216666666668,429.255,446.20166666666665,127.53500000000001,723.62
773.99,435.46500000000003,416.7683333333333,773.99,393.72333333333336,410.67,92.00333333333333,688.0883333333334
773.8716666666667,435.34666666666664,416.65,773.8716666666667,393.60499999999996,410.5516666666666,91.885,687.9699999999999
740.1883333333334,401.6633333333333,382.96666666666664,740.1883333333334,359.9216666666667,376.8683333333333,58.20166666666667,654.2866666666666
740.1883333333334,401.6633333333333,382.96666666666664,740.1883333333334,359.9216666666667,376.8683333333333,58.20166666666667,654.2866666666666
657.5116666666667,318.9866666666667,300.29,657.5116666666667,277.245,294.19166666666666,40.93833333333334,571.61
520.7216666666667,182.19666666666666,163.5,520.7216666666667,140.45499999999998,157.40166666666667,164.82999999999998,434.82
509.1116666666667,170.58666666666667,151.89,509.1116666666667,128.845,145.79166666666666,177.64833333333334,423.21
501.70166666666665,163.17666666666668,144.48,501.70166666666665,121.435,138.38166666666666,183.84333333333333,415.8
494.85166666666663,156.32666666666668,137.63,494.85166666666663,114.58500000000001,131.53166666666667,190.69500000000002,408.95
492.27000000000004,153.745,125.705,492.27000000000004,165.585,152.20833333333334,247.27666666666667,406.3683333333333
444.47,105.945,77.905,444.47,117.78500000000001,104.40833333333333,237.27,358.5683333333333
671.2133333333334,332.68833333333333,313.9916666666667,671.2133333333334,290.94666666666666,307.8933333333333,23.57,585.3116666666666
809.5216666666668,470.99666666666667,452.3,809.5216666666668,429.255,446.20166666666665,127.53500000000001,723.62
809.5216666666668,470.99666666666667,452.3,809.5216666666668,429.255,446.20166666666665,127.53500000000001,723.62
809.5216666666668,470.99666666666667,452.3,809.5216666666668,429.255,446.20166666666665,127.53500000000001,723.62
809.5216666666668,470.99666666666667,452.3,809.5216666666668,429.255,446.20166666666665,127.53500000000001,723.62
809.5216666666668,470.99666666666667,452.3,809.5216666666668,429.255,446.20166666666665,127.53500000000001,723.62
774.0783333333333,435.55333333333334,416.8566666666667,774.0783333333333,393.81166666666667,410.7583333333333,92.09166666666667,688.1766666666666
773.8716666666667,435.34666666666664,416.65,773.8716666666667,393.60499999999996,410.5516666666666,91.885,687.9699999999999
740.56,402.03499999999997,383.3383333333333,740.56,360.2933333333333,377.24,58.57333333333334,654.6583333333333
740.1883333333334,401.6633333333333,382.96666666666664,740.1883333333334,359.9216666666667,376.8683333333333,58.20166666666667,654.2866666666666
738.1366666666667,399.6116666666667,380.915,738.1366666666667,357.87,374.81666666666666,56.15,652.235
