system:index,Grid_ID,mean,.geo
00000000000000000000,957,0.5135116843264396,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.622727278362808],[121.29541361424158,14.622727301722325],[121.29541361424158,14.62723179641679],[121.29090913151374,14.627231779271801],[121.29090913151374,14.622727278362808]]]}"
00000000000000000001,958,0.41462393712627954,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.62727275294399],[121.29541361424158,14.62727268980642],[121.29541361424158,14.631777190035352],[121.29090913151374,14.631777259376333],[121.29090913151374,14.62727275294399]]]}"
00000000000000000002,959,0.38267457164530755,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.631818155733416],[121.29541361424158,14.631818163700936],[121.29541361424158,14.636322669361556],[121.29090913151374,14.636322667580668],[121.29090913151374,14.631818155733416]]]}"
00000000000000000003,960,0.3885081057790487,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.636363644218546],[121.29541361424158,14.63636364450959],[121.29541361424158,14.64086815549628],[121.29090913151374,14.64086816137793],[121.29090913151374,14.636363644218546]]]}"
00000000000000000004,961,0.38676013052310104,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.64090906069329],[121.29541361424158,14.64090905332469],[121.29541361424158,14.645413569529033],[121.29090913151374,14.64541358305638],[121.29090913151374,14.64090906069329]]]}"
00000000000000000005,962,0.3963460387740397,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.64545456265652],[121.29541361424158,14.645454547639376],[121.29541361424158,14.649959068958607],[121.29090913151374,14.64995901131079],[121.29090913151374,14.64545456265652]]]}"
00000000000000000006,963,0.38479309233356257,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.649999992390757],[121.29541361424158,14.649999969741913],[121.29541361424158,14.65450449606762],[121.29090913151374,14.654504524847324],[121.29090913151374,14.649999992390757]]]}"
00000000000000000007,964,0.3723335742192904,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.654545428593668],[121.29541361424158,14.654545477136844],[121.29541361424158,14.659049929553694],[121.29090913151374,14.659049965937195],[121.29090913151374,14.654545428593668]]]}"
00000000000000000008,965,0.3518016956119186,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.659090871158812],[121.29541361424158,14.659090912101059],[121.29541361424158,14.663595448125827],[121.29090913151374,14.663595413283742],[121.29090913151374,14.659090871158812]]]}"
00000000000000000009,966,0.3345644474715884,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.663636319979775],[121.29541361424158,14.663636353335054],[121.29541361424158,14.668140894049602],[121.29090913151374,14.66814086678054],[121.29090913151374,14.663636319979775]]]}"
0000000000000000000a,967,0.3304875381439272,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.668181774950147],[121.29541361424158,14.668181800732413],[121.29541361424158,14.672686346031188],[121.29090913151374,14.6726863263212],[121.29090913151374,14.668181774950147]]]}"
0000000000000000000b,968,0.32293202697164025,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.672727235963514],[121.29541361424158,14.672727254186741],[121.29541361424158,14.677231803964203],[121.29090913151374,14.677231791799318],[121.29090913151374,14.672727235963514]]]}"
0000000000000000000c,969,0.320579524939415,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.67727270291349],[121.29541361424158,14.677272713591625],[121.29541361424158,14.681777267742245],[121.29090913151374,14.681777263108504],[121.29090913151374,14.67727270291349]]]}"
0000000000000000000d,970,0.3118282210638897,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.681818175693673],[121.29541361424158,14.681818178840688],[121.29541361424158,14.686322658429328],[121.29090913151374,14.686322661309912],[121.29090913151374,14.681818175693673]]]}"
0000000000000000000e,971,0.31694610356550273,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.686363654197692],[121.29541361424158,14.686363649827543],[121.29541361424158,14.690868133575462],[121.29090913151374,14.690868143959273],[121.29090913151374,14.686363654197692]]]}"
0000000000000000000f,972,0.31432056494348926,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.690909059483852],[121.29541361424158,14.69090912644581],[121.29541361424158,14.695413614247498],[121.29090913151374,14.695413553282464],[121.29090913151374,14.690909059483852]]]}"
00000000000000000010,973,0.30767038513142964,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.69545454911359],[121.29541361424158,14.695454529753846],[121.29541361424158,14.699959021500996],[121.29090913151374,14.699959046846544],[121.29090913151374,14.69545454911359]]]}"
00000000000000000011,974,0.3193812791552165,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.699999965307097],[121.29541361424158,14.700000017313036],[121.29541361424158,14.704504512902961],[121.29090913151374,14.704504466866089],[121.29090913151374,14.699999965307097]]]}"
00000000000000000012,975,0.32408475064071274,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.704545465637146],[121.29541361424158,14.704545431343632],[121.29541361424158,14.709049930668044],[121.29090913151374,14.709049970919493],[121.29090913151374,14.704545465637146]]]}"
00000000000000000013,976,0.3161742286761636,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.70909089231261],[121.29541361424158,14.709090929418343],[121.29541361424158,14.713595432374566],[121.29090913151374,14.713595401210048],[121.29090913151374,14.70909089231261]]]}"
00000000000000000014,977,0.311007487978021,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.713636324068153],[121.29541361424158,14.713636353746137],[121.29541361424158,14.718140860225907],[121.29090913151374,14.718140836475209],[121.29090913151374,14.713636324068153]]]}"
00000000000000000015,978,0.2962533349154943,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.718181839649711],[121.29541361424158,14.718181783061633],[121.29541361424158,14.7226862929595],[121.29090913151374,14.722686355463734],[121.29090913151374,14.718181839649711]]]}"
00000000000000000016,979,0.2737693186979432,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.72272728124926],[121.29541361424158,14.722727296110746],[121.29541361424158,14.727231809324044],[121.29090913151374,14.727231800361995],[121.29090913151374,14.72272728124926]]]}"
00000000000000000017,980,0.26309447565402666,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.727272727609947],[121.29541361424158,14.727272735085528],[121.29541361424158,14.73177725150603],[121.29090913151374,14.731777249915956],[121.29090913151374,14.727272727609947]]]}"
00000000000000000018,981,0.25458865296835204,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.731818178625467],[121.29541361424158,14.731818178729101],[121.29541361424158,14.736322698251362],[121.29090913151374,14.736322704019313],[121.29090913151374,14.731818178625467]]]}"
00000000000000000019,982,0.24272647369527173,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.736363634189528],[121.29541361424158,14.736363626935164],[121.29541361424158,14.740868149453771],[121.29090913151374,14.740868162565798],[121.29090913151374,14.736363634189528]]]}"
0000000000000000001a,983,0.6097331212673264,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.618181830602271],[121.29995903898296,14.618181796393067],[121.29995903898296,14.622686356477736],[121.29545455614917,14.622686318164364],[121.29545455614917,14.618181830602271]]]}"
0000000000000000001b,984,0.49354558483809946,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.622727288848951],[121.29995903898296,14.622727246885304],[121.29995903898296,14.627231812629722],[121.29545455614917,14.627231782053988],[121.29545455614917,14.622727288848951]]]}"
0000000000000000001c,985,0.3960186315008511,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.62727275422274],[121.29995903898296,14.62727270451861],[121.29995903898296,14.631777197024553],[121.29545455614917,14.631777252965104],[121.29545455614917,14.62727275422274]]]}"
0000000000000000001d,986,0.3800126097459968,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.631818147821663],[121.29995903898296,14.631818169186527],[121.29995903898296,14.63632266713813],[121.29545455614917,14.636322651992906],[121.29545455614917,14.631818147821663]]]}"
0000000000000000001e,987,0.3852704288619648,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.636363627127396],[121.29995903898296,14.636363640782587],[121.29995903898296,14.640868144074231],[121.29545455614917,14.640868136624736],[121.29545455614917,14.636363627127396]]]}"
0000000000000000001f,988,0.45343064291554547,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.640909113240824],[121.29995903898296,14.640909119200293],[121.29995903898296,14.645413627726386],[121.29545455614917,14.645413627958659],[121.29545455614917,14.640909113240824]]]}"
00000000000000000020,989,0.5491520741591348,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.64545452725144],[121.29995903898296,14.645454525532035],[121.29995903898296,14.649959039184152],[121.29545455614917,14.649959047081365],[121.29545455614917,14.64545452725144]]]}"
00000000000000000021,990,0.4557784006354045,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.65000002665804],[121.29995903898296,14.650000017270859],[121.29995903898296,14.654504535946245],[121.29545455614917,14.654504472687576],[121.29545455614917,14.65000002665804]]]}"
00000000000000000022,991,0.36276294358045347,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.654545453743252],[121.29995903898296,14.654545436705124],[121.29995903898296,14.65904996029538],[121.29545455614917,14.659049983483431],[121.29545455614917,14.654545453743252]]]}"
00000000000000000023,992,0.34473235951368547,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.659090887204691],[121.29995903898296,14.6590909413393],[121.29995903898296,14.663595390929146],[121.29545455614917,14.663595421740226],[121.29545455614917,14.659090887204691]]]}"
00000000000000000024,993,0.3403440023527897,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.663636326935928],[121.29995903898296,14.66363637345037],[121.29995903898296,14.668140906556486],[121.29545455614917,14.668140866161274],[121.29545455614917,14.663636326935928]]]}"
00000000000000000025,994,0.3373969154382183,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.668181851648821],[121.29995903898296,14.668181811738796],[121.29995903898296,14.6726863494431],[121.29545455614917,14.67268631664016],[121.29545455614917,14.668181851648821]]]}"
00000000000000000026,995,0.32540013160275333,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.67272730360328],[121.29995903898296,14.672727256098161],[121.29995903898296,14.677231798295114],[121.29545455614917,14.677231773070488],[121.29545455614917,14.67272730360328]]]}"
00000000000000000027,996,0.31397570467253333,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.677272761508323],[121.29995903898296,14.67727270642208],[121.29995903898296,14.68177725300615],[121.29545455614917,14.681777235345878],[121.29545455614917,14.677272761508323]]]}"
00000000000000000028,997,0.31090810024765964,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.681818146430798],[121.29995903898296,14.681818162604154],[121.29995903898296,14.68632271346981],[121.29545455614917,14.686322703359933],[121.29545455614917,14.681818146430798]]]}"
00000000000000000029,998,0.31258932380857796,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.686363615915019],[121.29995903898296,14.686363624538009],[121.29995903898296,14.690868179579727],[121.29545455614917,14.690868177006287],[121.29545455614917,14.686363615915019]]]}"
0000000000000000002a,999,0.30814469335939804,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.69090909103068],[121.29995903898296,14.690909092117254],[121.29995903898296,14.695413572397161],[121.29545455614917,14.695413577343338],[121.29545455614917,14.69090909103068]]]}"
0000000000000000002b,1000,0.30585301843885015,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.695454571671423],[121.29995903898296,14.695454565235538],[121.29995903898296,14.699959049477664],[121.29545455614917,14.699959061932367],[121.29545455614917,14.695454571671423]]]}"
0000000000000000002c,1001,0.31196312613900484,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.699999978892794],[121.29995903898296,14.699999964951273],[121.29995903898296,14.704504531885352],[121.29545455614917,14.704504472993733],[121.29545455614917,14.699999978892794]]]}"
0000000000000000002d,1002,0.3104130807784736,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.704545470261795],[121.29995903898296,14.704545448825726],[121.29995903898296,14.709049940673026],[121.29545455614917,14.709049968100052],[121.29545455614917,14.704545470261795]]]}"
0000000000000000002e,1003,0.29890387862758083,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.709090887993089],[121.29995903898296,14.709090937920157],[121.29995903898296,14.713595433413225],[121.29545455614917,14.713595389460382],[121.29545455614917,14.709090887993089]]]}"
0000000000000000002f,1004,0.2959465052481314,"{""type"":""Polygon"",""coordinates"":[[[121.29545455614917,14.713636389664988],[121.29995903898296,14.71363635328454],[121.29995903898296,14.718140852315113],[121.29545455614917,14.71814089465865],[121.29545455614917,14.713636389664988]]]}"
