Grid_ID,FAPAR_avg,FAPAR_std,lst_day_avg,lst_day_std,lst_night_avg,lst_night_std,ndvi_avg,ndvi_std,ntl_avg,ntl_std,Polygon
957,0.21976086351982185,0.06928042663999318,26.844159139532,0.3929403148640079,20.940517132980855,0.1285989863251948,0.6184092974168653,0.08637746739037154,0.5135116843264396,0.03669735891432704,"POLYGON ((121.2909090909091 14.62272727272727, 121.2954135954136 14.62272727272727, 121.2954135954136 14.62723177723178, 121.2909090909091 14.62723177723178, 121.2909090909091 14.62272727272727))"
958,0.24824843915980505,0.0565621455062852,26.467336689440273,0.10574002313697604,20.825895296780907,0.07452486514874906,0.6398363365435124,0.06368765987185365,0.4146239371262795,0.015829246383571426,"POLYGON ((121.2909090909091 14.62727272727273, 121.2954135954136 14.62727272727273, 121.2954135954136 14.63177723177723, 121.2909090909091 14.63177723177723, 121.2909090909091 14.62727272727273))"
959,0.1734326337346621,0.0717267844464087,26.40379970015029,0.366372881665218,20.687127668106342,0.2805326920077334,0.5614415315957024,0.08181714208125376,0.3826745716453076,0.004940932749087372,"POLYGON ((121.2909090909091 14.63181818181818, 121.2954135954136 14.63181818181818, 121.2954135954136 14.63632268632269, 121.2909090909091 14.63632268632269, 121.2909090909091 14.63181818181818))"
960,0.1289010909388626,0.05455510380171423,26.57282794943852,0.14950303887450106,20.741897379430238,0.09753071842807697,0.4961691397579692,0.05213212673342228,0.3885081057790487,0.00791001826882843,"POLYGON ((121.2909090909091 14.63636363636364, 121.2954135954136 14.63636363636364, 121.2954135954136 14.64086814086814, 121.2909090909091 14.64086814086814, 121.2909090909091 14.63636363636364))"
961,0.15354590992460984,0.06939035810214017,26.409004244603764,0.0853839609384942,20.41460577975253,0.15214151306610346,0.5430045868967978,0.06632190077795243,0.38676013052310093,0.012858566923078777,"POLYGON ((121.2909090909091 14.64090909090909, 121.2954135954136 14.64090909090909, 121.2954135954136 14.6454135954136, 121.2909090909091 14.6454135954136, 121.2909090909091 14.64090909090909))"
962,0.13486692745541826,0.045229411512385034,26.46173556272337,0.14970379616435486,20.44008175731652,0.15344758550704896,0.5490537886290046,0.0571275165370691,0.3963460387740397,0.004990454579767569,"POLYGON ((121.2909090909091 14.64545454545455, 121.2954135954136 14.64545454545455, 121.2954135954136 14.64995904995905, 121.2909090909091 14.64995904995905, 121.2909090909091 14.64545454545455))"
963,0.13865733049988607,0.052078411210075434,26.545161229733186,0.13078458516456898,20.28911408829864,0.24981426613862825,0.5373529340823437,0.0667199256671149,0.38479309233356257,0.005958210012661678,"POLYGON ((121.2909090909091 14.65, 121.2954135954136 14.65, 121.2954135954136 14.65450450450451, 121.2909090909091 14.65450450450451, 121.2909090909091 14.65))"
964,0.12370938277160187,0.04545611096010986,26.5994473143473,0.01927459291109494,20.31215651551385,0.22805951712124786,0.5455971965863711,0.06788765822506579,0.3723335742192904,0.006789478393225922,"POLYGON ((121.2909090909091 14.65454545454545, 121.2954135954136 14.65454545454545, 121.2954135954136 14.65904995904996, 121.2909090909091 14.65904995904996, 121.2909090909091 14.65454545454545))"
965,0.20545346638705803,0.07424576460282645,26.565201715814556,0.033288172472889066,19.832016030666804,0.14933443949165345,0.6159939247784162,0.08822765332358104,0.3518016956119186,0.011112359547660277,"POLYGON ((121.2909090909091 14.65909090909091, 121.2954135954136 14.65909090909091, 121.2954135954136 14.66359541359541, 121.2909090909091 14.66359541359541, 121.2909090909091 14.65909090909091))"
966,0.26296504730864656,0.07642342762653828,26.476630596810487,0.2911429198388497,19.918443692227736,0.2958369787001838,0.6600297964773321,0.08651078933081867,0.3345644474715884,0.007934853699781861,"POLYGON ((121.2909090909091 14.66363636363636, 121.2954135954136 14.66363636363636, 121.2954135954136 14.66814086814087, 121.2909090909091 14.66814086814087, 121.2909090909091 14.66363636363636))"
967,0.20043537211369505,0.08206688609679819,26.004372615984817,0.10122579574610123,19.647284559180214,0.009316864647468377,0.6081199056351253,0.10073790092604508,0.3304875381439272,0.004164768646721434,"POLYGON ((121.2909090909091 14.66818181818182, 121.2954135954136 14.66818181818182, 121.2954135954136 14.67268632268632, 121.2909090909091 14.67268632268632, 121.2909090909091 14.66818181818182))"
968,0.1966557957057796,0.051416023931313636,26.012416621933166,0.035905216577590555,19.457697338538303,0.1900920781684329,0.5716052528645104,0.06588863368017539,0.32293202697164025,0.00227522933202043,"POLYGON ((121.2909090909091 14.67272727272727, 121.2954135954136 14.67272727272727, 121.2954135954136 14.67723177723178, 121.2909090909091 14.67723177723178, 121.2909090909091 14.67272727272727))"
969,0.1833204923345333,0.06348204925394679,25.889914316941162,0.19847425151229187,19.32332752933103,0.0756773927003269,0.5762547664954764,0.10088706894570727,0.320579524939415,0.009748431651062373,"POLYGON ((121.2909090909091 14.67727272727273, 121.2954135954136 14.67727272727273, 121.2954135954136 14.68177723177723, 121.2909090909091 14.68177723177723, 121.2909090909091 14.67727272727273))"
970,0.15046970401918713,0.07604816346960253,25.91887830837555,0.2422327600736147,19.322058925139142,0.05930286671295466,0.4966317142083729,0.1135353934496852,0.3118282210638897,0.0032245708914252578,"POLYGON ((121.2909090909091 14.68181818181818, 121.2954135954136 14.68181818181818, 121.2954135954136 14.68632268632269, 121.2909090909091 14.68632268632269, 121.2909090909091 14.68181818181818))"
